Metadata_cell_type,Metadata_treatment,Metadata_stimulation,Metadata_Plate,Metadata_Well,Metadata_Site_Count,Metadata_Object_Count,lower_outlier_cellSpecific,corrupted
primary smc,siCDKN2A,basal,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,E05,25,7175,,
primary smc,siCDKN2A,basal,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,E06,25,6782,,
primary smc,siCDKN2A,tgfb,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,E07,25,5978,,
primary smc,siCDKN2A,tgfb,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,E08,25,6171,,
primary smc,siCDKN2A,tgfb,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,E09,25,6200,,
primary smc,siCDKN2A,tgfb,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,E10,25,6100,,
primary smc,siCDKN2A,tgfb,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,E11,25,6279,,
primary smc,siDMRTA1,basal,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,F02,25,6384,,
primary smc,siDMRTA1,basal,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,F03,25,5374,,1
primary smc,siDMRTA1,basal,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,F04,25,6103,,
primary smc,siDMRTA1,basal,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,F05,25,5629,,1
primary smc,siDMRTA1,basal,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,F06,25,6098,,
primary smc,siDMRTA1,tgfb,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,F07,25,5389,,
primary smc,siDMRTA1,tgfb,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,F08,25,5689,,
primary smc,siDMRTA1,tgfb,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,F09,25,5850,,
primary smc,siDMRTA1,tgfb,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,F10,25,5438,,
primary smc,siDMRTA1,tgfb,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,F11,25,5738,,
primary smc,siIFNA1,basal,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,G02,25,5895,,
primary smc,siIFNA1,basal,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,G03,25,5797,,
primary smc,siIFNA1,basal,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,G04,25,6671,,
primary smc,siIFNA1,basal,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,G05,25,6102,,
primary smc,siIFNA1,basal,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,G06,25,5674,,
primary smc,siIFNA1,tgfb,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,G07,25,5969,,
primary smc,siIFNA1,tgfb,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,G08,25,5752,,
primary smc,siIFNA1,tgfb,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,G09,25,6185,,
primary smc,siIFNA1,tgfb,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,G10,25,5423,,
