"features","Compartment","Channel","Measure"
"Cells_Location_MaxIntensity_Z_AGP","Cells","AGP","Location/Shape/Size/
Neighbor/Count"
"Cells_Location_MaxIntensity_Z_BODIPYRNA","Cells","BODIPYRNA","Location/Shape/Size/
Neighbor/Count"
"Cells_Location_MaxIntensity_Z_DNA","Cells","DNA","Location/Shape/Size/
Neighbor/Count"
"Cells_Location_MaxIntensity_Z_Mito","Cells","Mito","Location/Shape/Size/
Neighbor/Count"
"Cells_Mean_LargeBODIPYObjects_AreaShape_Area","Cells","BODIPYRNA","Location/Shape/Size/
Neighbor/Count"
"Cells_Mean_LargeBODIPYObjects_AreaShape_BoundingBoxArea","Cells","BODIPYRNA","Location/Shape/Size/
Neighbor/Count"
"Cells_Mean_LargeBODIPYObjects_AreaShape_BoundingBoxMaximum_X","Cells","BODIPYRNA","Location/Shape/Size/
Neighbor/Count"
"Cells_Mean_LargeBODIPYObjects_AreaShape_BoundingBoxMaximum_Y","Cells","BODIPYRNA","Location/Shape/Size/
Neighbor/Count"
"Cells_Mean_LargeBODIPYObjects_AreaShape_BoundingBoxMinimum_X","Cells","BODIPYRNA","Location/Shape/Size/
Neighbor/Count"
"Cells_Mean_LargeBODIPYObjects_AreaShape_BoundingBoxMinimum_Y","Cells","BODIPYRNA","Location/Shape/Size/
Neighbor/Count"
"Cells_Mean_LargeBODIPYObjects_AreaShape_Center_X","Cells","BODIPYRNA","Location/Shape/Size/
Neighbor/Count"
"Cells_Mean_LargeBODIPYObjects_AreaShape_Center_Y","Cells","BODIPYRNA","Location/Shape/Size/
Neighbor/Count"
"Cells_Mean_LargeBODIPYObjects_AreaShape_Compactness","Cells","BODIPYRNA","Location/Shape/Size/
Neighbor/Count"
"Cells_Mean_LargeBODIPYObjects_AreaShape_ConvexArea","Cells","BODIPYRNA","Location/Shape/Size/
Neighbor/Count"
"Cells_Mean_LargeBODIPYObjects_AreaShape_Eccentricity","Cells","BODIPYRNA","Location/Shape/Size/
Neighbor/Count"
"Cells_Mean_LargeBODIPYObjects_AreaShape_EquivalentDiameter","Cells","BODIPYRNA","Location/Shape/Size/
Neighbor/Count"
"Cells_Mean_LargeBODIPYObjects_AreaShape_EulerNumber","Cells","BODIPYRNA","Location/Shape/Size/
Neighbor/Count"
"Cells_Mean_LargeBODIPYObjects_AreaShape_Extent","Cells","BODIPYRNA","Location/Shape/Size/
Neighbor/Count"
"Cells_Mean_LargeBODIPYObjects_AreaShape_FormFactor","Cells","BODIPYRNA","Location/Shape/Size/
Neighbor/Count"
"Cells_Mean_LargeBODIPYObjects_AreaShape_MajorAxisLength","Cells","BODIPYRNA","Location/Shape/Size/
Neighbor/Count"
"Cells_Mean_LargeBODIPYObjects_AreaShape_MaxFeretDiameter","Cells","BODIPYRNA","Location/Shape/Size/
Neighbor/Count"
"Cells_Mean_LargeBODIPYObjects_AreaShape_MaximumRadius","Cells","BODIPYRNA","Location/Shape/Size/
Neighbor/Count"
"Cells_Mean_LargeBODIPYObjects_AreaShape_MeanRadius","Cells","BODIPYRNA","Location/Shape/Size/
Neighbor/Count"
